fips,name,type,totalvote2016,democrat2016,republican2016,others2016,write_ins2016,none_of_these_candidates2016
54037,Jefferso,County,24508,9518,13204,1490,296,0
54039,Kanawha,County,76888,28263,43850,3580,1195,0
54041,Lewis,County,6936,1347,5274,314,1,0
54043,Lincoln,County,7137,1459,5307,312,59,0
54045,Logan,County,12440,2092,9897,385,66,0
54047,McDowell,County,6246,1438,4629,136,43,0
54049,Marion,County,23367,6964,14668,1440,295,0
54051,Marshall,County,13353,2918,9666,648,121,0
54053,Mason,County,10269,2081,7654,457,77,0
54055,Mercer,County,23197,4704,17404,892,197,0
54057,Mineral,County,11671,2050,9070,467,84,0
54059,Mingo,County,9512,1370,7911,230,1,0
54061,Monongal,County,36772,14699,18432,3089,552,0
54063,Monroe,County,5852,1111,4443,251,47,0
54065,Morgan,County,7737,1573,5732,366,66,0
54067,Nicholas,County,9579,1840,7251,415,73,0
54069,Ohio,County,18214,5493,11139,1356,226,0
54071,Pendleto,County,3254,729,2398,105,22,0
54073,Pleasant,County,3179,621,2358,176,24,0
54075,Pocahont,County,3675,928,2496,226,25,0
54077,Preston,County,12764,2470,9538,671,85,0
54079,Putnam,County,25211,5884,17788,1299,240,0
54081,Raleigh,County,29892,6443,22048,1162,239,0
54083,Randolph,County,10969,2735,7629,532,73,0
54085,Ritchie,County,4105,496,3405,181,23,0
54087,Roane,County,5316,1222,3781,254,59,0
54089,Summers,County,4893,1190,3455,226,22,0
54091,Taylor,County,6593,1491,4733,326,43,0
54093,Tucker,County,3501,751,2565,162,23,0
54095,Tyler,County,3692,507,2996,156,33,0
54097,Upshur,County,9298,1766,7005,449,78,0
54099,Wayne,County,15347,3357,11152,692,146,0
54101,Webster,County,3011,556,2302,120,33,0
54103,Wetzel,County,6312,1359,4519,396,38,0
54105,Wirt,County,2422,386,1911,125,0,0
54107,Wood,County,36071,8400,25434,1816,421,0
54109,Wyoming,County,7880,1062,6547,222,49,0
55001,Adams,County,10130,3745,5966,367,52,0
55003,Ashland,County,8032,4226,3303,408,95,0
55005,Barron,County,22671,7889,13614,1103,65,0
55007,Bayfield,County,9612,4953,4124,450,85,0
55009,Brown,County,129011,53382,67210,7266,1153,0
55011,Buffalo,County,6981,2525,4048,354,54,0
55013,Burnett,County,8738,2949,5410,379,0,0
55015,Calumet,County,26595,9642,15367,1586,0,0
55017,Chippewa,County,31568,11887,17916,1761,4,0
55019,Clark,County,13673,4221,8652,734,66,0
55021,Columbia,County,29698,13528,14163,1716,291,0
55023,Crawford,County,7728,3419,3836,430,43,0
55025,Dane,County,309354,217697,71275,16959,3423,0
55027,Dodge,County,43078,13968,26635,2475,0,0
55029,Door,County,17592,8014,8580,849,149,0
55031,Douglas,County,22536,11357,9661,1243,275,0
55033,Dunn,County,22106,9034,11486,1586,0,0
55035,Eau Clai,County,55025,27340,23331,3778,576,0
55037,Florence,County,2656,665,1898,93,0,0
55039,Fond du,County,51796,17387,31022,2924,463,0
55041,Forest,County,4545,1579,2787,153,26,0
55043,Grant,County,24368,10051,12350,1702,265,0
55045,Green,County,18985,9122,8693,1026,144,0
55047,Green La,County,9416,2693,6216,449,58,0
55049,Iowa,County,12275,6669,4809,668,129,0
55051,Iron,County,3513,1275,2081,124,33,0
55053,Jackson,County,9267,3818,4906,496,47,0
55055,Jefferso,County,43109,16569,23417,2679,444,0
55057,Juneau,County,11735,4073,7130,460,72,0
55059,Kenosha,County,76304,35799,36037,4467,1,0
55061,Kewaunee,County,10767,3627,6618,522,0,0
55063,La Cross,County,63674,32406,26378,4219,671,0
55065,Lafayett,County,7662,3288,3977,353,44,0
55067,Langlade,County,10186,3250,6478,415,43,0
55069,Lincoln,County,14712,5371,8401,808,132,0
55071,Manitowo,County,40786,14538,23244,2406,598,0
55073,Marathon,County,69518,26481,39014,3543,480,0
55075,Marinett,County,20343,6409,13122,812,0,0
55077,Marquett,County,7891,2808,4709,328,46,0
55078,Menomine,County,1308,1002,267,39,0,0
55079,Milwauke,County,441053,288822,126069,21547,4615,0
55081,Monroe,County,19699,7052,11356,1122,169,0
55083,Oconto,County,20206,5940,13345,852,69,0
55085,Oneida,County,21531,8109,12132,1130,160,0
55087,Outagami,County,93933,38068,49879,5984,2,0
55089,Ozaukee,County,54560,20170,30464,3245,681,0
55091,Pepin,County,3735,1344,2206,185,0,0
55093,Pierce,County,21376,8399,11272,1534,171,0
55095,Polk,County,22745,7565,13810,1292,78,0
55097,Portage,County,38589,18529,17305,2418,337,0
55099,Price,County,7568,2667,4559,342,0,0
55101,Racine,County,94302,42641,46681,4980,0,0
55103,Richland,County,8069,3569,4013,427,60,0
55105,Rock,County,76074,39339,31493,4403,839,0
55107,Rusk,County,7088,2171,4564,332,21,0
55109,St. Croi,County,47508,17482,26222,3402,402,0
55111,Sauk,County,31357,14690,14799,1868,0,0
55113,Sawyer,County,9137,3503,5185,350,99,0
55115,Shawano,County,19810,6068,12769,973,0,0
55117,Sheboyga,County,59766,23000,32514,3706,546,0
55119,Taylor,County,9471,2393,6579,454,45,0
55121,Trempeal,County,13687,5636,7366,617,68,0
55123,Vernon,County,14275,6371,7004,853,47,0
55125,Vilas,County,13611,4770,8166,546,129,0
55127,Walworth,County,51391,18710,28863,3317,501,0
55129,Washburn,County,9193,3282,5436,416,59,0
55131,Washingt,County,76757,20852,51740,4164,1,0
55133,Waukesha,County,237593,79224,142543,13291,2535,0
55135,Waupaca,County,26095,8451,16209,1265,170,0
55137,Waushara,County,12074,3791,7667,543,73,0
55139,Winnebag,County,87135,37047,43445,5735,908,0
55141,Wood,County,37818,14225,21498,2095,0,0
56001,Albany,County,17060,6890,7602,1931,637,0
56003,Big Horn,County,5317,604,4067,410,236,0
56005,Campbell,County,18199,1324,15778,833,264,0
56007,Carbon,County,6374,1279,4409,512,174,0
56009,Converse,County,6654,668,5520,364,102,0
56011,Crook,County,3826,273,3348,153,52,0
56013,Fremont,County,17023,4200,11167,1176,480,0
56015,Goshen,County,5796,924,4418,366,88,0
56017,Hot Spri,County,2586,400,1939,196,51,0
56019,Johnson,County,4417,638,3477,234,68,0
56021,Laramie,County,40969,11573,24847,3530,1019,0
56023,Lincoln,County,8875,1105,6779,514,477,0
56025,Natrona,County,33348,6577,23552,2401,818,0
56027,Niobrara,County,1314,115,1116,66,17,0
56029,Park,County,15095,2535,11115,984,461,0
56031,Platte,County,4529,719,3437,304,69,0
56033,Sheridan,County,14510,2927,10266,995,322,0
56035,Sublette,County,4390,644,3409,244,93,0
56037,Sweetwat,County,17130,3231,12154,1275,470,0
56039,Teton,County,12627,7314,3921,943,449,0
56041,Uinta,County,8470,1202,6154,697,417,0
56043,Washakie,County,3814,532,2911,272,99,0
56045,Weston,County,3526,299,3033,153,41,0
