fips,name,type,totalvote2012,democrat2012,republican2012,others2012,write_ins2012,none_of_these_candidates2012
1001,Autauga,County,23973,6363,17379,231,0,0
1003,Baldwin,County,85491,18424,66016,1051,0,0
1005,Barbour,County,11517,5912,5550,55,0,0
1007,Bibb,County,8420,2202,6132,86,0,0
1009,Blount,County,24060,2970,20757,333,0,0
1011,Bullock,County,5322,4061,1251,10,0,0
1013,Butler,County,9502,4374,5087,41,0,0
1015,Calhoun,County,46364,15511,30278,575,0,0
1017,Chambers,County,14629,6871,7626,132,0,0
1019,Cherokee,County,9792,2132,7506,154,0,0
1021,Chilton,County,17485,3397,13932,156,0,0
1023,Choctaw,County,7976,3786,4152,38,0,0
1025,Clarke,County,13860,6334,7470,56,0,0
1027,Clay,County,6679,1777,4817,85,0,0
1029,Cleburne,County,6319,971,5272,76,0,0
1031,Coffee,County,19821,4925,14666,230,0,0
1033,Colbert,County,23444,9166,13936,342,0,0
1035,Conecuh,County,7025,3555,3439,31,0,0
1037,Coosa,County,5282,2191,3049,42,0,0
1039,Covingto,County,15439,3158,12153,128,0,0
1041,Crenshaw,County,6424,2050,4331,43,0,0
1043,Cullman,County,34555,5052,28999,504,0,0
1045,Dale,County,18601,5286,13108,207,0,0
1047,Dallas,County,20964,14612,6288,64,0,0
1049,DeKalb,County,23950,5239,18331,380,0,0
1051,Elmore,County,35546,8954,26253,339,0,0
1053,Escambia,County,14894,5489,9287,118,0,0
1055,Etowah,County,42624,12803,29130,691,0,0
1057,Fayette,County,7958,1817,6054,87,0,0
1059,Franklin,County,10881,3171,7567,143,0,0
1061,Geneva,County,11331,2039,9175,117,0,0
1063,Greene,County,5343,4521,804,18,0,0
1065,Hale,County,8647,5411,3210,26,0,0
1067,Henry,County,8766,3083,5628,55,0,0
1069,Houston,County,41984,12367,29270,347,0,0
1071,Jackson,County,20632,5822,14439,371,0,0
1073,Jefferso,County,304523,159876,141683,2964,0,0
1075,Lamar,County,7176,1646,5457,73,0,0
1077,Lauderda,County,37032,12511,23911,610,0,0
1079,Lawrence,County,14148,5069,8874,205,0,0
1081,Lee,County,54496,21381,32194,921,0,0
1083,Limeston,County,35540,9829,25295,416,0,0
1085,Lowndes,County,7523,5747,1756,20,0,0
1087,Macon,County,10396,9045,1331,20,0,0
1089,Madison,County,155428,62015,90884,2529,0,0
1091,Marengo,County,11543,6167,5336,40,0,0
1093,Marion,County,12129,2249,9697,183,0,0
1095,Marshall,County,32644,6299,25867,478,0,0
1097,Mobile,County,175140,78760,94893,1487,0,0
1099,Monroe,County,10717,4914,5741,62,0,0
1101,Montgome,County,102067,63085,38332,650,0,0
1103,Morgan,County,49459,13439,35391,629,0,0
1105,Perry,County,6101,4568,1506,27,0,0
1107,Pickens,County,9621,4455,5124,42,0,0
1109,Pike,County,14123,6035,7963,125,0,0
1111,Randolph,County,10421,3078,7224,119,0,0
1113,Russell,County,18910,10500,8278,132,0,0
1115,St. Clai,County,35235,5801,29031,403,0,0
1117,Shelby,County,92742,20051,71436,1255,0,0
